Humidity_D,Data Month,Time,Pressure
82.51059,200209,1030838400,1000.0
84.69371,200210,1033430400,1000.0
83.41566,200211,1036108800,1000.0
85.27067,200212,1038700800,1000.0
78.51865,200301,1041379200,1000.0
76.5796,200302,1044057600,1000.0
78.69444,200303,1046476800,1000.0
81.53318,200304,1049155200,1000.0
81.96896,200305,1051747200,1000.0
83.42568,200306,1054425600,1000.0
83.072205,200307,1057017600,1000.0
82.569016,200308,1059696000,1000.0
83.26451,200309,1062374400,1000.0
84.9416,200310,1064966400,1000.0
83.94463,200311,1067644800,1000.0
81.97259,200312,1070236800,1000.0
75.609406,200401,1072915200,1000.0
77.9599,200402,1075593600,1000.0
79.54622,200403,1078099200,1000.0
81.774345,200404,1080777600,1000.0
85.638695,200405,1083369600,1000.0
82.34227,200406,1086048000,1000.0
84.48029,200407,1088640000,1000.0
82.33245,200408,1091318400,1000.0
83.11343,200409,1093996800,1000.0
84.00607,200410,1096588800,1000.0
80.63676,200411,1099267200,1000.0
79.65228,200412,1101859200,1000.0
78.05053,200501,1104537600,1000.0
76.86019,200502,1107216000,1000.0
83.5393,200503,1109635200,1000.0
83.33695,200504,1112313600,1000.0
84.23011,200505,1114905600,1000.0
83.21295,200506,1117584000,1000.0
82.441635,200507,1120176000,1000.0
82.65533,200508,1122854400,1000.0
81.86191,200509,1125532800,1000.0
82.82436,200510,1128124800,1000.0
81.750275,200511,1130803200,1000.0
81.26047,200512,1133395200,1000.0
80.023094,200601,1136073600,1000.0
74.21867,200602,1138752000,1000.0
76.53284,200603,1141171200,1000.0
80.69795,200604,1143849600,1000.0
82.927536,200605,1146441600,1000.0
82.97683,200606,1149120000,1000.0
84.25286,200607,1151712000,1000.0
83.01042,200608,1154390400,1000.0
84.31259,200609,1157068800,1000.0
84.3351,200610,1159660800,1000.0
80.495735,200611,1162339200,1000.0
82.984245,200612,1164931200,1000.0
79.20549,200701,1167609600,1000.0
75.959984,200702,1170288000,1000.0
78.281,200703,1172707200,1000.0
84.04058,200704,1175385600,1000.0
83.97113,200705,1177977600,1000.0
84.43494,200706,1180656000,1000.0
84.22899,200707,1183248000,1000.0
83.43171,200708,1185926400,1000.0
84.040016,200709,1188604800,1000.0
82.81746,200710,1191196800,1000.0
82.23234,200711,1193875200,1000.0
78.81035,200712,1196467200,1000.0
76.951805,200801,1199145600,1000.0
77.464874,200802,1201824000,1000.0
78.25246,200803,1204329600,1000.0
81.11006,200804,1207008000,1000.0
82.043884,200805,1209600000,1000.0
83.04026,200806,1212278400,1000.0
83.83503,200807,1214870400,1000.0
84.15917,200808,1217548800,1000.0
83.41153,200809,1220227200,1000.0
85.62386,200810,1222819200,1000.0
81.086655,200811,1225497600,1000.0
79.33823,200812,1228089600,1000.0
75.837685,200901,1230768000,1000.0
72.32213,200902,1233446400,1000.0
73.19156,200903,1235865600,1000.0
81.92994,200904,1238544000,1000.0
85.77215,200905,1241136000,1000.0
83.48923,200906,1243814400,1000.0
83.69962,200907,1246406400,1000.0
83.69015,200908,1249084800,1000.0
83.700874,200909,1251763200,1000.0
83.83612,200910,1254355200,1000.0
83.640305,200911,1257033600,1000.0
80.92176,200912,1259625600,1000.0
79.55837,201001,1262304000,1000.0
81.40567,201002,1264982400,1000.0
82.21631,201003,1267401600,1000.0
85.30757,201004,1270080000,1000.0
84.65711,201005,1272672000,1000.0
84.31714,201006,1275350400,1000.0
83.77604,201007,1277942400,1000.0
84.36655,201008,1280620800,1000.0
84.39737,201009,1283299200,1000.0
83.566635,201010,1285891200,1000.0
81.730316,201011,1288569600,1000.0
78.06726,201012,1291161600,1000.0
80.40821,201101,1293840000,1000.0
78.63951,201102,1296518400,1000.0
