Temperature_D,Data Month,Time
26.097437,200209,1030838400
25.58288,200210,1033430400
24.55224,200211,1036108800
23.892176,200212,1038700800
23.525812,200301,1041379200
25.010828,200302,1044057600
25.290094,200303,1046476800
25.005579,200304,1049155200
25.608912,200305,1051747200
25.843225,200306,1054425600
25.80932,200307,1057017600
26.12359,200308,1059696000
26.182642,200309,1062374400
25.915522,200310,1064966400
24.99505,200311,1067644800
23.50567,200312,1070236800
24.404718,200401,1072915200
24.675531,200402,1075593600
24.60293,200403,1078099200
24.391443,200404,1080777600
25.19781,200405,1083369600
25.57873,200406,1086048000
25.474604,200407,1088640000
25.85235,200408,1091318400
26.089624,200409,1093996800
25.710474,200410,1096588800
24.792383,200411,1099267200
24.058863,200412,1101859200
23.217371,200501,1104537600
23.892664,200502,1107216000
24.775476,200503,1109635200
25.318415,200504,1112313600
25.424707,200505,1114905600
26.349298,200506,1117584000
26.267359,200507,1120176000
26.1867,200508,1122854400
26.204737,200509,1125532800
25.65722,200510,1128124800
24.989313,200511,1130803200
24.33816,200512,1133395200
24.34408,200601,1136073600
24.928278,200602,1138752000
24.408258,200603,1141171200
24.810602,200604,1143849600
25.364344,200605,1146441600
25.89538,200606,1149120000
25.77511,200607,1151712000
26.242548,200608,1154390400
25.872095,200609,1157068800
25.968195,200610,1159660800
25.213617,200611,1162339200
24.001673,200612,1164931200
24.104242,200701,1167609600
24.612238,200702,1170288000
24.878138,200703,1172707200
25.219507,200704,1175385600
25.58932,200705,1177977600
25.77801,200706,1180656000
25.805414,200707,1183248000
26.044733,200708,1185926400
25.697046,200709,1188604800
25.64596,200710,1191196800
24.760187,200711,1193875200
24.25155,200712,1196467200
23.884089,200801,1199145600
24.711603,200802,1201824000
24.95727,200803,1204329600
25.215845,200804,1207008000
25.48623,200805,1209600000
25.674707,200806,1212278400
25.347803,200807,1214870400
25.714258,200808,1217548800
26.054224,200809,1220227200
25.091913,200810,1222819200
24.665766,200811,1225497600
23.985132,200812,1228089600
23.9367,200901,1230768000
24.6589,200902,1233446400
24.21078,200903,1235865600
